Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAL,American Airlines Group Inc. Common Stock,$19.31,0.36,1.90%,12502410717.00,United States,,42796633,Transportation,Air Freight/Delivery Services
AAOI,Applied Optoelectronics Inc. Common Stock,$7.45,0.02,0.269%,202203192.00,United States,2013,372945,Technology,Semiconductors
ABSI,Absci Corporation Common Stock,$14.22,0.18,1.282%,1316163853.00,United States,2021,176613,Health Care,Biotechnology: Pharmaceutical Preparations
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$16.26,0.17,1.057%,2612059798.00,United States,1985,1241557,Health Care,Biotechnology: Pharmaceutical Preparations
ACBI,Atlantic Capital Bancshares Inc. Common Stock,$23.54,0.23,0.987%,477931631.00,United States,,99716,Finance,Major Banks
ACER,Acer Therapeutics Inc. Common Stock (DE),$2.64,-0.04,-1.493%,37779044.00,United States,,77487,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHC,Acadia Healthcare Company Inc. Common Stock,$65.02,0.36,0.557%,5842916903.00,United States,,197464,Health Care,Hospital/Nursing Management
ADV,Advantage Solutions Inc. Class A Common Stock,$8.50,0.11,1.311%,2707875277.00,United States,2019,458910,Technology,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,$2.27,0.03,1.339%,222745716.00,United States,2014,3082934,Health Care,Biotechnology: Pharmaceutical Preparations
AEIS,Advanced Energy Industries Inc. Common Stock,$88.08,1.06,1.218%,3379900358.00,United States,1995,168331,Consumer Durables,Electrical Products
AFIB,Acutus Medical Inc. Common Stock,$10.79,-0.47,-4.174%,301491504.00,United States,2020,262991,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFIN,American Finance Trust Inc. Class A Common Stock,$8.60,0.30,3.614%,1013250615.00,United States,,1299732,Consumer Services,Real Estate Investment Trusts
AFRM,Affirm Holdings Inc. Class A Common Stock,$109.30,-14.40,-11.641%,29440840767.00,United States,2021,44862980,Miscellaneous,Business Services
AINV,Apollo Investment Corporation Common Stock,$13.63,-0.04,-0.293%,886893005.00,United States,2004,307518,Finance,Finance/Investors Services
AKBA,Akebia Therapeutics Inc. Common Stock,$2.92,0.04,1.389%,509649377.00,United States,2014,1886013,Health Care,Biotechnology: Pharmaceutical Preparations
AMAL,Amalgamated Financial Corp. Common Stock (DE),$14.70,0.00,0.00%,457105438.00,United States,2018,64869,Finance,Commercial Banks
AMEH,Apollo Medical Holdings Inc. Common Stock,$89.60,-5.28,-5.565%,3983110925.00,United States,,897095,Health Care,Managed Health Care
AMGN,Amgen Inc. Common Stock,$216.72,2.97,1.389%,5907124080144.00,United States,1983,2553406,Health Care,Biotechnology: Pharmaceutical Preparations
AMNB,American National Bankshares Inc. Common Stock,$31.90,0.23,0.726%,346935532.00,United States,,12481,Finance,Major Banks
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,$18.45,0.62,3.477%,886184275.00,United States,2014,183860,Health Care,Biotechnology: Pharmaceutical Preparations
AMTB,Amerant Bancorp Inc. Class A Common Stock,$26.44,0.93,3.646%,991009300.00,United States,,195180,Finance,Major Banks
ANAB,AnaptysBio Inc. Common Stock,$25.98,0.17,0.659%,712718667.00,United States,2017,149497,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,Andersons Inc. (The) Common Stock,$29.73,0.17,0.575%,989496128.00,United States,,99141,Consumer Non-Durables,Tobacco
ANGO,AngioDynamics Inc. Common Stock,$27.10,0.00,0.00%,1041834460.00,United States,2004,290943,Health Care,Medical/Dental Instruments
ANIK,Anika Therapeutics Inc. Common Stock,$39.65,0.05,0.126%,571873060.00,United States,,64542,Health Care,Medical/Dental Instruments
ANIP,ANI Pharmaceuticals Inc.,$28.22,0.78,2.843%,359847669.00,United States,,35042,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANSS,ANSYS Inc. Common Stock,$366.38,-7.23,-1.935%,31967579377.00,United States,1996,276050,Technology,Computer Software: Prepackaged Software
APOG,Apogee Enterprises Inc. Common Stock,$41.60,0.79,1.936%,1061915462.00,United States,,96830,,
APPN,Appian Corporation Class A Common Stock,$102.34,0.97,0.957%,7274579263.00,United States,2017,552986,Technology,EDP Services
AQB,AquaBounty Technologies Inc. Common Stock,$4.32,-0.04,-0.917%,306831188.00,United States,,502494,,
